[2026-05-30T22:41:10Z] state=RUNNING|1:08|7:58:52|slinky-2 | ckpts=[] | <no step line yet>
[2026-05-31T00:16:36Z] state=RUNNING|1:36:34|6:23:26|slinky-2 | ckpts=[2000 ] | 00:16:13.918 [I] Step 3800: grad_norm=0.0426, loss=0.0045, param_norm=1806.0337                   (36600:train.py:268)
[2026-05-31T00:19:40Z] state=RUNNING|1:39:37|6:20:23|slinky-2 | ckpts=[2000 ] | 00:18:18.697 [I] Step 3900: grad_norm=0.0395, loss=0.0040, param_norm=1806.0770                   (36600:train.py:268)
[2026-05-31T00:22:43Z] state=RUNNING|1:42:41|6:17:19|slinky-2 | ckpts=[2000 4000 ] | 00:22:31.859 [I] Step 4100: grad_norm=0.0377, loss=0.0038, param_norm=1806.1588                   (36600:train.py:268)
[2026-05-31T00:25:46Z] state=RUNNING|1:45:44|6:14:16|slinky-2 | ckpts=[2000 4000 ] | 00:24:50.189 [I] Step 4200: grad_norm=0.0389, loss=0.0040, param_norm=1806.1971                   (36600:train.py:268)
[2026-05-31T00:28:50Z] state=RUNNING|1:48:47|6:11:13|slinky-2 | ckpts=[2000 4000 ] | 00:26:55.813 [I] Step 4300: grad_norm=0.0396, loss=0.0040, param_norm=1806.2338                   (36600:train.py:268)
[2026-05-31T00:31:53Z] state=RUNNING|1:51:51|6:08:09|slinky-2 | ckpts=[2000 4000 ] | 00:31:06.654 [I] Step 4500: grad_norm=0.0379, loss=0.0037, param_norm=1806.3075                   (36600:train.py:268)
[2026-05-31T00:34:57Z] state=RUNNING|1:54:58|6:05:02|slinky-2 | ckpts=[2000 4000 ] | 00:33:11.842 [I] Step 4600: grad_norm=0.0372, loss=0.0036, param_norm=1806.3396                   (36600:train.py:268)
[2026-05-31T00:38:07Z] state=RUNNING|1:58:04|6:01:56|slinky-2 | ckpts=[2000 4000 ] | 00:37:22.719 [I] Step 4800: grad_norm=0.0372, loss=0.0035, param_norm=1806.4025                   (36600:train.py:268)
[2026-05-31T00:41:10Z] state=RUNNING|2:01:08|5:58:52|slinky-2 | ckpts=[2000 4000 ] | 00:39:27.928 [I] Step 4900: grad_norm=0.0367, loss=0.0037, param_norm=1806.4309                   (36600:train.py:268)
[2026-05-31T00:44:13Z] state=RUNNING|2:04:11|5:55:49|slinky-2 | ckpts=[2000 4000 ] | 00:43:47.603 [I] Step 5100: grad_norm=0.0334, loss=0.0030, param_norm=1806.4849                   (36600:train.py:268)
[2026-05-31T00:47:17Z] state=RUNNING|2:07:14|5:52:46|slinky-2 | ckpts=[2000 4000 ] | 00:45:52.569 [I] Step 5200: grad_norm=0.0351, loss=0.0033, param_norm=1806.5100                   (36600:train.py:268)
[2026-05-31T00:50:20Z] state=RUNNING|2:10:18|5:49:42|slinky-2 | ckpts=[2000 4000 ] | 00:50:02.697 [I] Step 5400: grad_norm=0.0354, loss=0.0032, param_norm=1806.5554                   (36600:train.py:268)
[2026-05-31T00:53:24Z] state=RUNNING|2:13:22|5:46:38|slinky-2 | ckpts=[2000 4000 ] | 00:52:07.855 [I] Step 5500: grad_norm=0.0362, loss=0.0033, param_norm=1806.5775                   (36600:train.py:268)
[2026-05-31T00:56:27Z] state=RUNNING|2:16:25|5:43:35|slinky-2 | ckpts=[2000 4000 ] | 00:56:18.595 [I] Step 5700: grad_norm=0.0336, loss=0.0029, param_norm=1806.6167                   (36600:train.py:268)
[2026-05-31T00:59:30Z] state=RUNNING|2:19:28|5:40:32|slinky-2 | ckpts=[2000 4000 ] | 00:58:36.660 [I] Step 5800: grad_norm=0.0371, loss=0.0032, param_norm=1806.6348                   (36600:train.py:268)
